questions,answers
Propagation - How to propagate? Tradescantia  , 
Plant ID Trailing Abutilon  Mealybug,"Abutilon megaspoticum, this plant needs full sun and is not growing well in a corridor. Change the plant type, as it's not suitable for the location. "
Why is my moss turning brown? Turtle moss Browining ,Use filtered water and let the chlorine evaporate in an open container. Maybe the moss wasn't healthy from the beginning. 
"Plant died after solving whitefly problem. But, is it ok to recycle soil to grow soil? Ulam raja  Necrosis (dying) Whitefly",To change/remedy the soil by adding fertiliser. DIY Chili and soap mix
Why is my Ulam raja turning brown? Ulam raja (Cosmos caudatus) Turning brown ,This plant needs full sun. It won't grow well indoors. Move to a sunnier window if there is no other growing space. 
Plant ID from a leaf Unknown  ,To bring a photograph / the plant for ID. 
Tiny white crawling insects on soil and mould behind the leaves  Unspecified Tiny white crawling insects on soil and mould behind the leaves  ,Neem oil or neem based mild soap spray on mould; Pounded chilli and water spray 
"How to get rid of snail? Vegetable  Whitish furry creature Mealybug, Snail","Beer traps , snail bait and copper. Mealybug - neem oil  "
Leaf miner on vegetable Vegetables Trailing on leaf Leaf miner,Cut away affected area. Use neem oil to disrupt life cycle of leaf miner Neem oil / white oil; yellow sticky traps
Pest on vegetables Vegetables  Snail,Place copper at snail bait Snail bait; Beer trap; Snail pellet; Crush egg shells
Bukit Gombak RC garden plot has sow bugs in the soil and wilted plants Vegetables Rotting roots Sow bug,Problem is poor drainage that causes the roots to rot; sow bug doesn't attack the plant 
Spider mites infestation on vegetables Vegetables  Spider mite,Apply soapy water Neem; Soapy water
Cultivation - Basic condition of growing vegetable? Vegetables  ,Need full sun and water regularly. 
Propagation - How to grow vegetables through seed? Vegetables  ,Plant the seeds in tray - avoid too deep/over watering. Move into pots after 2-3 weeks of growth. Put at morning sun area.  
Which vegetable can plant with only watering once a week? Vegetables  ,No suitable plants recommended. Try hydroponics set. May try germinate seeding and plant at ground. 
Dumping off of seedlings/ eaten by insects Vegetables seedlings  Fungus (Dumping off),Suspect eaten by beetles 
How to fertilize veggies? Veggetables  ,"Thrive, chicken pellets, slow release fertilizer. "
Cultivation - can wrightia go under full sun? Water jasmine (Wrightia)  ,yes 
Cultivation - How to grow water lily Water lily  ,Change water and put artificial light. 
"Ants and aphids on watermelon Watermelon  Ant, Aphid",To check for traces of honeydew/sootymold. 
Wheat grass is mouldy Wheat grass Mouldy ,Put out the grass to prevent spreading 
Yellow leaves on winter melon Winter melon Yellowing leaves ,Pest issues 
Black things at stem; brown bugs on the flowers Wrightia religiosa  Scale,Brown bugs could be scales Systemic pesticide; Horticultural oil/white oil
Wrightia is yellowing Wrightia religiosa Yellowing leaves ,increase fertiliser 
Why my wrightia very leggy? Wringhtia Elongated stem ,Prune the tip of the wrightia to encourage the growth 
 Wringhtia  ,Do not plant too deep 
Plant ID Xiphidium caeruleaum  , 
How do you grow yam? Yam   ,Needs a lot of water 
"Died twice, suspect soil problem. Yellow bells Necrosis (dying) ",To look as soil the next time she digs out the plant. She does not know how the soil quality is. 
Does it release toxic substance? Zamioculcus zamifolia  ,"No, it has sap that might cause itchy "
Why are leaves droopy? Zamioculus  , 
How to remove black flies around the soil? Zebra plant  Black fly,"Dilute detergent spray , spray frequently  a few times.  Bt-i"
Cultivation - How to grow Zebra plant? Zebra plant  ,Referred to 1001 book. Require lots of water  
"curly, dwarfing of newly formed shoot Zinnia Shoot curl and dwarfing Virus",Likely virus as enquirer informed that no insects has been observed 
Zucchini has not flowers Zucchini Not flowering ,Monitor and wait only 1-2 weeks old only. 
"Plant ID   ZZ plant, Mint, Orchid, Wrightia religiosa  ", 
Ants at plants   Ant, 
Why are the leaves wrinkled and it has ants on it ?  Wrinkle leaves Ant & Mealybug,"Mealybug are sap  sucking insect which can cause wrinkling, ants feed on secretion. Treat mealy bugs problem first, in order to remove the ants. Apply white summer oil.  "
"A lot of ants and mealy bugs  White cottony mass on the leaves Ant, Mealybug","Mealybug are sap  sucking insect which can cause wrinkling, ants feed on secretion. Treat mealy bugs problem first, in order to remove the ants. Apply white summer oil.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Get rid of aphids   Aphid,Use organic chili water. Diluted soap water
How to get rid of aphids?   Aphid,Spray with 1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). Mix well and spray.  1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). Mix well and spray. 
Hydroponics encounter aphids attack   Aphid,Get insect nettyo <0.2 micros Diluted soap water
  Curling leaves Aphid / Sap sucking insects,Spray soap water  White summer oil
"1) Aphids, 2) Mealy bugs, 3) Awl snails.   Aphid, Awl snail, Mealybug ","1) Wipe with diluted soap solution, 2) neem oil, 3) beer trap "
"How to control aphids and mealy bugs?   Aphid, Mealybug ","Remove insects, affected parts and apply organic pesticide. "
"How to get rid of aphids, Mealybug and scale insects?   Aphid, Mealybug, Scale ","Neem oil, let plant exposed to sunlight. Might need to apply neem oil regularly. White summer oil"
How to get rid of awl snails?   Awl snail,"Use beer trap, snail pellets, remove manually. "
How to get rid of awl snails?   Awl snail,Sprinkle salt on the soil sparingly. Set a beer trap (bury the cup at rim level and add beer.  Salt
How to control bagworms  Shot holes on the leaves Bagworm,"Visible bags or affected leaves/branches should be removed manually to reduce the infestation.
Nearby host plants can remain unaffected as the females do not fly. Controlling the bagworms through insecticides may not be effective. These bagworms spend the egg stage within sealed bags. Subsequently, tiny caterpillars (around 10 mm) emerge and lower themselves on silken strands to new foliage to construct new bags which they carry upright as they move. As the caterpillars grow within the bags, the bags are enlarged. Full grown caterpillars within bags are up to 2.5 cm long before pupating. 7 -10 later, the pupae of male moths wriggle out of the bottom of the bags, leaving the empty pupal skins behind. Adult males have short 10-12 mm long clear wings, hairy black bodies and feathery antennae. They fly and seek out females to mate. Females do not develop into adult moths, but remain inside bags and resemble maggots, with no functional eyes, legs, mouthparts or antennae. After mating, females produce a large cluster of eggs inside their bodies and die. Infested plants develop more bagworms each year. They may become abundant enough in a few years to completely defoliate their host plant. "
How to get rid of bug worms?   Bagworm,Remove affected leaves. Spray with soap solution. Contact pesticide
Beetles eat orchid    Beetle,Hand pick or use neem oil.  Neem oil
Bite marks on plant   Bite marks Beetle or grasshopper,Beetle or grasshoppers 
Black insect eggs    Black insect,Remove and spray 
Black insects on plants   Black insect, 
Insect borers   Borer,Pesticide Systemic pesticide
Brown spots on leaves  Brown spots on leaves Chemical burn,burns from chemical splash 
"My plant is infested with cockroaches and white-coloured ants   Cockroach, White ant",Compost your clippings rather than putting it in the pot directly Dry bay leaves
Flies are around the plant   Fly,"Too wet, let the soil be a bit dry. "
Fruit flies    Fruit fly,Cover the fruits with mesh  
"Why are there yellow, necrotic spots on all of the leaves on my plant?  yellow necrotic spots on leaves Fungal disease?",Could be fungal infection. Apply fungicide and change the soil. Fungicide
Why does my leaf have yellow/brown spots ?  Yellow/brown spots on leaves Fungal/Bacterial disease,Fungal/Bacterial disease 
Leaves with yellow spots   Yellow spots on leaves Fungus,Fungal infection. Do not get leaves wet at night. 
How to treat powdery mildew?   Fungus (Powdery Mildew),Fungicide  Fungicide/ milk water/ neem
The plant has shoot mould  Sooty mould Fungus (Sooty mould),Use white summer oil. 
Possible fungus gnats   Larvae (Fungus gnat),"Layer of sand on top. Change soil. Increase drainage of soil, so it dry faster. Bt-i"
"How to get rid of gnats and millipede    Larvae (Fungus gnat), Millipede",Dry the soil Bt-i
Get rid of grasshopper   Grasshopper,Spray chili ginger water Chili ginger solution
How to get rid of grasshopper?   Grasshopper,"Spray chili, garlic solution Chili ginger solution"
How to remove grasshoppers on plants?   Grasshopper,Manually remove/spray home remedies(chili and garlic) Chili ginger solution
"Larvae, White flies, Mealybug   Larvae, Mealybug, Whitefly","Spray neem oil Neem oil / white oil; yellow sticky traps
DIY chili & soap mix"
How to remove leaf miners from my plant?   Leaf miner,Remove affected leaves. Spray with spinosad. Spinosad
leaf miner in my plant  Trailing on leaf Leaf miner,Cut away affected area. Use neem oil to disrupt life cycle of leaf miner Neem oil / white oil; yellow sticky traps
There is a trailing mark at the leaf  Trailing on leaf Leaf miner,Cut away affected area. Use neem oil to disrupt life cycle of leaf miner Neem oil / white oil; yellow sticky traps
"Leaf miner, beetle larvae in soil and chewed leaves  Trailing on leaf Leaf miner, beetle larvae, caterpillars","For leaf miner, cut away affected area. Use neem oil to disrupt life cycle of leaf miner. For beetle larvae in soil, remove when repotting. Chewed leaves are caused by caterpillars, spray white oil. Neem oil"
A plant has white fluffy stuff on underside of the leaves.  White fluffy stuff Mealybug,Possibly infested by mealy bugs/white flies. Use sucking pesticide. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to get rid of mealy bugs on my office plants?   Mealybug,Dab with alcohol to kill and physically remove. Spray with horticultural oil and quarantine affected plants. Dab with alcohol
How to get rid of mealy bugs?   Mealybug,"Daily checks ,remove of pest manually if not over infected. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
How to get rid of Mealybug?  Whitish furry creature Mealybug,Spray with soap solution White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to get rid of the soil Mealybug?  Whitish furry creature Mealybug,Change the soil media free of Mealybug. Remove the soil thoroughly. Was the roots prior to transplanting. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to get rid of white pest?  Whitish furry creature Mealybug,Could be Mealybugs. Rubbing alcohol lightly. 
How to kill Mealybug?  Whitish furry creature Mealybug,Spray summer oil and pyrethrius White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to remove Mealybug and fertilizer Capsicum  Whitish furry creature Mealybug,Spray insecticide fertilizer with NPK White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to remove Mealybug?  Whitish furry creature Mealybug,Use diluted soap solution to wash it off. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to remove Mealybug?  Whitish furry creature Mealybug,"White summer oil. Use chilli, union, garlic and a few drop of mama lemon. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
How to remove Mealybug?  Whitish furry creature Mealybug,White summer oil and pyrethrins White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Lots of Mealybug  Whitish furry creature Mealybug,Use summer oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealy bugs on plants  Whitish furry creature Mealybug,Spray white oil or soap White oil
Mealybug  Whitish furry creature Mealybug,Use insecticide soap White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug  Whitish furry creature Mealybug,"Plant to deter. Mealybug(Indian borage, society garlic) White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Mealybug   Whitish furry creature Mealybug,White summer oil or neem oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug   Whitish furry creature Mealybug,Use neem oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug on chilli plant leaf  Whitish furry creature Mealybug,Use neem oil  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug on desmodium and hibiscus  Whitish furry creature Mealybug,Spray with white summer oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug on Physalis in pot.  Whitish furry creature Mealybug,"Summer oil improve nutrients, compost, seaweed White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Mealybug on plant  Whitish furry creature Mealybug,Spray neem oil. Remove the affected parts. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug on veggie  Whitish furry creature Mealybug,Use organic pesticide   White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug problem  Whitish furry creature Mealybug,Use white summer oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug solution  Whitish furry creature Mealybug,"Neem oil, white summer oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Plant with white spots  White spots Mealybug,Mealy bugs. Kill with rubbing alcohol . White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Soil Mealybug   Whitish furry creature Mealybug,Change the soil and wash the soil off the root. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
What insect is attacking my plant? How to get rid of it?  White cottony mass on the leaves Mealybug,Mealybug; Use tissue to remove the cottony masses and apply 70% isopropyl alcohol with a tissue (especially in the cracks) White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
What to do when there are white stuff on the plant?  Whitish furry creature Mealybug,Use white summer oil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
White insects on plants  Whitish furry creature Mealybug,Mealybug? 
  Whitish furry creature Mealybug,Give it enough water. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to treat mealy bugs on my plants?   Mealybug ,Spray neem oil  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
  Whitish furry creature Mealybug ,Inform public member to apply diluted detergent to control Mealybug.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
  Yellowing/curling leaves. Black and dried up roots. Mealybug , White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mealybug on ghost pepper leaves will drop after fruiting  Whitish furry creature Mealybug  ,Use neem oil. Normal for ghost pepper life cycle White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Pest and disease identification   Mealybug & Sooty mould,"Mealy bugs, sooty mould on limau pulut. "
How to cure sooty mould and Mealybug?   Mealybug & Sooty mould ,Prune the affected part. Spray neem oil. 
How to get rid of soil Mealybug?   Mealybug (soil),Drench insecticide White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
What are the white thing in the root?   Mealybug (soil),"Root mealybug, dry soil under the soil. Add compost White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
  Soil in pot got whitish mouldy thingy  Mealybug (soil),Drench soil with pesticide.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
"White little insects and black flies can be seen in the soil   Mealybug, White insect ",Use the organic spray on root ball and repot in fresh mix of soil. 
How to get rid of millipedes?   Millipede,To reduce the use of compost.  
Is this pest a centipede? How to control?   Millipede,A millipede. Can change the soil  
Millipedes on rooftop are getting beyond control. How to control?   Millipede,Seek help from AVA and write in to warn the public. 
How can I remove mites?   Mite,"Dissolve sulphur soap shavings in hot water, wash off the plant with plain water, spray with cooled sulphur solution  Sulphur soap"
How to get rid of nematodes?   Nematode,"Chop raw broccoli or cabbage and add to soil, water as per normal. Add Crucifer extract (Chopped raw broccoli or cabbage) to soil  "
How to get rid of scale?   Scale,Protective armour protects them so harder to remove by spraying them. Can try to gently remove manually or dab with rubbing alcohol.  dab with rubbing alcohol. 
Pest problem   Scale,Scale insect Systemic pesticide; Horticultural oil/white oil
Scale insect control. Rotten adenium.  Rotten Scale ,Use detergent in water. Use stem cutting propagation. Systemic pesticide; Horticultural oil/white oil
How to treat pest?   Scale  ,Prune infected parts. Spray with neem oil. Systemic pesticide; Horticultural oil/white oil
How to treat scale sooty mould?   Scale & Sooty mould,Remove the scale which produce the sugar that attract sooty mould . Horticultural oil
What is the whitish fluff on the stem of my plant?  whitish fluff on stem Schlerotia infection,Could be Schlerotia infection. Repot plant in a new pot and fresh soil. 
How to control snails?   Snail,Snails pellet or crush egg shells. Snail bait; Beer trap; Snail pellet; Crush egg shells
How to get rid of snails?   Snail, Snail bait; Beer trap; Snail pellet; Crush egg shells
How to remove snail in my garden?   Snail,Use snail palettes or use beer trap Snail bait; Beer trap; Snail pellet; Crush egg shells
How to remove snails from a pond?   Snail,Can add mosquito fish which eat snail eggs. Reduce leftover fish food. Use a snail trap. 
Snails   Snail,Beer trap to trap snails. Snail bait; Beer trap; Snail pellet; Crush egg shells
Snail with pointed shell.    Snail with pointed shell,Encourage the spray of insecticide. Snail bait; Beer trap; Snail pellet; Crush egg shells
Does keeping the leaves moist help to control or prevent spider mites?   Spider mite,"Although spiders mites prefer hot and dry conditions and tend to attack water-stressed plants more, keeping the leaves moist will not control them once they have estabilished themselves. Use lime sulphur spray to reduce the population. Lime sulphur spray"
How to get rid of spider mites?   Spider mite,Apply soapy water Soapy water
What's wrong with my plant?   Spider mite,Spider mites--remove affected parts and spray with Neem or white summer oil Neem oil; white summer oil
Pest ID   Tussock moth,Tussock moth 
How to get rid of whiteflies?   Whitefly,Spray with 1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). Mix well and spray.  Spray with 1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). Mix well and spray. 
leaves have white flies on undersides   Whitefly,"white flies - apply mama lemon, blended chili: dilute with water, spray frequently "
Tomato/chili plant is infested with white flies.   Whitefly,"Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover DIY Chili and soap mix"
White flies     Whitefly,Spray DIY Chili and soap mix water to the leaves of plants DIY Chili and soap mix
White flies on edible plant   Whitefly,"Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover DIY Chili and soap mix"
White flies problems.   Whitefly,"Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover DIY Chili and soap mix"
Advise on basic edible plants   ,"Plant given(Mint, tomato and basil) "
Air plant died in 6 months.  Necrosis (dying) ,Do not over water. Prevent water stagnating between leaves. 
Aloe Vera plant hanging out of the pot?   ,Change it to the bigger pot 
Anthurium yellow   Yellowing leaves ,Cut away 
Ants is found in the pot    ,Use ant gel 
Applied rooting hormone powder and stunted.   ,Report with fresh growing media 
Are plants in HortPark for sale?   ,Depends. Some may be on sale at Gardeners' Days Out. 
Ask if edibles need full sun?   ,"Yes, majority of edibles require full sun. "
Black ring spot on plant  Black ring spot on plant ,Cause by bacteria. Cut away 
Can I wrap my ornamental plant roots with cling wrap to enhance growth?   ,Not recommended as the wrap may prevents the roots from growing and absorbing water/nutrients 
Can mulching with leaves spread disease?   ,"Yes, do not use infected leaves as mulch  "
Can plant be kept in the room at night?   ,"Yes, explain process of respiration and photosynthesis "
Can reuse the potting soil?   ,There is high risk of pest/disease introduced to the new plant 
Can sage survive for a long period of time?   ,No 
CIB - How can I start an edible garden at my secondary school?   ,Took contact details and will connect with CIB manager. 
Compost    ,"Tea leaves, wood chip, newspaper, cut boards, fruit peel "
Compost    ,Add fruits peels 
Composting ratio   ,1 green : 1 brown 
Cultivation - Air plant    ,Mist every day till dripping  
Cultivation - How to grow plant in balcony?   ,Lising hang planter  
Desert rose does not flower?   ,She has been keeping the plant for many years. 
Do I need to plant my seed right away?   ,Keep seed cool and dry. Plant within a year 
Flowering plants wont flower  Not flowering ,Locate plants/fertilize .Placed on a stand to raise it higher. 
Foam on leaves nod   ,Wash the nod with water. 
Fungal spot   Spots ,Use fungicide  
Fungi infected soil   ,Sterilise soil using sun 
Gardenia not flowering  Not flowering ,Use high K in fertiliser 
Guava tree leaf  curling & Yellowing . No time after a big cut.   Yellowing/curling leaves ,May be virus problem. Because she has a farm we provide AVA contacting No.to her. 
Holy rose yellowing leaves  Yellowing leaves ,Could be too much watering 
How can I do gardening in HDB when there are so many problems?   ,Consider joining CIB.  
How do I know when to harvest a carrot or veggie?   ,Harvest when the top of the carrot appear. Harvest when the vegetable leaves are big enough. 
How often do we fertilize?   ,"For edibles, use a organic fertilizer follow directions but start with half strength. "
How often to turn over the compost bin?   ,Once a month. 
How to attract pollinators?   ,Plant flowering plants 
How to compost easily?   ,Use combination of dry and wet ingredient  
How to differentiate full sun plant and shade plant?   ,Look for edible - mainly full sun . Leaves with pattern like calathea - more towards shade plants.  
How to ensure my plants are well watered and receive sufficient light?   ,"Check the soil, ensure the room is well lit with natural light. "
How to get soil to be alkaline?   ,Lime the soil. 
How to improve soil drainage?   ,Mix with coarse sand/ pebbles 
How to keep lawn green?  Patchy ,"Engaged contractor to manage the lawn, as they are more experienced. "
How to perform cutting?   ,Dip cut part tip into rooting hormone  
How to prune the tree?   ,Heavy branch- to tip prune the heavy branch.  
How to retain moisture?   ,Put mulch (Coco husk) 
How to search farming information?   ,"Look through N Parks Newsletters. Ask seed suppliers, nursery. Provide basic edible plant growth condition. "
How to spray white summer oil?   ,Spray regularly to ensure population is gone. 
How to start an edible garden?   ,Raise soil bed fertile loamy soil Rotate long beans to fix N.  
How to start gardening?   ,"Know the location condition,( sunlight, wind, watering) "
How to take out a plant from a pot to do repotting?   ,Squeeze pot to lose up the soil a bit and moist the soil 
How to test soil pH?   ,Soil test kit. Litmus paper 
How to use organic fertilizers? What is the amount required?   ,Organic fertilizer is usually slow release. 2 hand full of the product per plant could be applied 
How to water my Tillandsia   ,"Indirect light, keep more dry than wet, don't put it in an enclosed container "
Identify of shrubs.   ,"Indian borage, colocasia and calathea. "
Indoor edible garden   ,Need supplemental light. Start with small tray 
Indoor plants soil looks compacted    ,Fork and add more soil mix 
Interested to attend course on soil management and plant disease    ,To look for information from Nparks newsletter for related courses 
Is ant harmful to plant?   ,"No, ant are attracted to sugar by the other insect. "
Is coffee ground good substitute for soil?   ,no 
Is it fine to plant herb in compost?   ,"Better to mix soil and compost. Mix burn earth, compost, coarse sand. "
Is it okay to do greenhouse here in Singapore?   ,"Yes, depending on size. "
Leaf curling up  Curling leaves ,Nutritional beneficial keep ph. below 6.5 - 7.5  
Leaf rot  Leaf rotting ,Overwatered 
Leaves has holes   Holes on leaf , 
Leaves turning yellow  Yellowing leaves ,Transplant to bigger pot and apply fertilizer 
Leaves veins yellowish   Yellow veins ,Nutrients problem 
Mango and chiku tree in the ground has no flowers  Not flowering ,"Incorporate compost to improve soil structure around the tree, then apply chicken manure and a fertiliser enriched with phosphorous and potassium. Mulch the base of the tree "
My plant died   Necrosis (dying) ,Transplanting shock. Make the soil loose  
Nutrient deficiency  Nutrient deficiency ,Fertilize with mg. Mg deficiency 
Pest control for edibles   ,"Accept low level of damage, grow under mesh cloth. "
Phalaenopsis not fruiting  Not fruiting ,Need old trigger 
"Plant curling up, yellowing  Yellowing/curling leaves ","Repot to bigger pot, add NPK "
Plant ID   ,Hura crepitans 
Plant ID   ,Pomelo and cosmos  
Plant ID and its growing condition   ,"Bird nest fern, semi shade "
Plant Palette - Can you recommend types of plant I can grow on my rooftop?   ,"Plants that do not need to much sun, you may want to put a white netting. "
Plant Palette - What edible plants can I grow in my corridor which doesn't receive much light?   ,"Mint, basil can survive with less light, but most edibles grow best with 4-6 hours of direct sun. "
Plant palette for edible plants   ,"Basil, mint, brinjal "
Plant palette for focal/feature tree   ,Suggest to go local nurseries to look around for ideas. 
Plant palette for growing in pots   ,"Check growing environment. Full sun, plant in pots. Refer to PPN stalls "
Plant palette for shaded place   ,"introduced FFW. Fern, Anthurium, Agalaonema, Costus.  Apply fertilizer"
Plant palette for windy area.   ,Herbs like cactus and tillandsia. 
Plant palette under artificial light    ,Light to strong. Water directly to soil. 
Plant paletter for attracting butterflies   ,Recommended ixora and cat whiskers 
Plant paletter for indoor on plant sales by PPN   ,Suggested Aglaomema 
Propagation - Do we need soak seed in water before sowing?   ,"No, can direct sow in plant. "
Propagation - How to grow from cuttings?   ,A good ASM or potting soil. Wider pots is preferable. 
"Propagation root in water, adapting to soil.   ",Put in growing media setting to soil. 
Repoting plants   ,"Use loamy soil mix with send , volcanic sand . Make a few slashes in the root ball "
Rhizomes vs. tubers   ,explained with help from online illustrations 
Rose plant buds are usually dry & crispy.  Drying and crispy flower buds ,Water issue. Fertilizer not enough  
Should I cut the dry stem of Orchid?    ,"Yes, can cut away the dry stem.  "
Small brown spots on leaf  Brown spots on leaves ,"Possible sap sucking insect damage, spray with garlic/chilli/soap solution "
Soil erosion leading to loss of soil  Soil erosion ,"It does not affect the plant, no sign of dehydration is fine "
source of worm for vermicompost   ,Suggested to look for local nursery or farms 
The plant leaf got tip burn. But not exposed in the sun.   ,Reduced watering to once a day 
Type of fertilizers   ,N:P:K (15:15:15) 
Type of soil for fruit trees   ,With approval soil mix (depends on the plant species) 
Vegetable(Sweet potato leaves has yellow leaves)  Yellowing leaves ,Use balance fertilizer for vegetable  
Vegetables -Transfer from water to soil died.   ,Try not to transfer. Maintain the same media. 
Water collect on top of soil potted plant   ,"Compacted soil. Repot plant, regularly fork soil. "
Ways of watering   ,Drench and let it dry. 
What are the black chips used by N Parks and how to use it?   ,"Mulch, fine wood chips. Retain moisture, provide organic matter. Mix into soil. Mulch around plant. "
What are the different between hydroponic and soil planting?   ,Different media. Different level of maintenance. 
What are these white specks on my plants?  White speck ,Lace bug eggs 
What is the cause of the hole on the leaf?  Holes on leaf ,"Leaf minor. Treat with fungicide, organic fertilizer to strengthen plant. "
What is the recommended plant density and quantity for allotment plots?   ,We don't have any recommendations but you can visit HortPark allotment plots for ideas. 
What is worm tea?   ,Earthworms feed on organic matter in the soil and the nutrients are released and found in their excrement (called worm castings). Worm tea is made by soaking the castings in water for about 12 hours or more and then removing the castings. The liquid is used to water the plants either as it is or diluted 1 to 1 with water.  
What pesticides are recommended for use inside the home?   ,"Horticultural oil, neem oil, organic soap "
What potting soil to use?   ,"A mix of compost, sand, perlite. Use mixed designed for potted plants. "
What to do when butterfly attracting plant?   ,Look at flora and fauna website. 
What's the ratio for the vinegar - garlic - chilli remedy    ,"Depends on the chili size. Trial & error , dilute but spray frequently.  "
Where can I buy mycorrhizae fungi in Singapore?  Mycorrhizae fungi ,It is found in any garden soil where plants grow 
Where can I find info about rainwater collection in small community gardens? (Students from NUS)   ,We gave them CIB contact and asked them to email their request with specific details on their research requirements. We also encouraged them to review PUB guidelines on rainwater collection. 
Where can I submit samples of soil/ compost to analyze content?    ,"Bring to APHC to do soil testing, Charge of $28.35 per individual nutrient test  "
"Where to buy pineapple, mint and basil seeds?   ",Try to find online or at nurseries. 
Where to get rooting hormone?   , 
Which type of plant can grow in water?   ,Not all can grow as genetic. Suggest canna. 
Why are my leaves turning yellow?  Yellowing leaves ,"It's a sign of plant stress and can be caused by many factors, such as insufficient or excess amounts of nutrients, water, light, temperature and air in the soil structure. "
Why are my veggie not growing well?   ,Apply fertilizer. Fork in it. 
Why are the new leaves are dried and brown in colour?  Browning/drying leaves ,Water it. Soil was dry. Keep it in a windy condition 
Why aren't figs developing on my tree?   ,"Lack of pollinating wasp. Fertilise, repot in good soil  "
Why did the plant turn yellow?  Yellowing ,Nutrient deficiency 
Why do we found brown spots on leaves indoor  Brown spots on leaves ,"Insufficient sunlight, watery  "
Why is my fruit tree is turning yellow?  Yellowing leaves ,Not enough nitrogen. 
Why isn't compost useful enough to faster fruiting?   ,They are slow release. It takes time 
Why my fern dry up?  Drying up ,"Too little water, mist the plant and soak the plant in water "
Why sealing wax palm leaves turn yellow next to the wall?   Yellowing fronds ,Too little water or the heat from the wall cause the leave to burn.  
Why tomato/capsicum fruit become watery inside?  watery fruit ,Could be due to too much watering. 
